tekst,retweets,volgers,plaats,datum,id_str
"RT @DrEricDing: 4) A big scientific evidence review study on face masks. 

“We recommend that public officials and governments strongly enc…",611,3960,,Thu Dec 03 13:39:44 +0000 2020,1334492518608723969
RT @AndrewRose11: A year after his stay of execution Rodney Reed remains in limbo awaiting a chance to prove his innocence in court but at…,7,1789,,Thu Dec 03 13:39:43 +0000 2020,1334492511667154946
RT @DrEricDing: ⚠️HOLY SMOKES. Sen Perdue’s broker bought Pfizer stock in Feb even when Pfizer warned of *bad outlook*. Then he bought more…,2866,59,,Thu Dec 03 13:39:41 +0000 2020,1334492503962226690
"RT @fawfulfan: Obama, Bush and Clinton will receive #COVID19 vaccines on TV — but Trump won’t join them: report https://t.co/myLIYdg9uV",1,140,,Thu Dec 03 13:39:41 +0000 2020,1334492503622344704
RT @BallouxFrancois: Switzerland’s medical regulator says it still lacks all the necessary information to sign off on three different #COVI…,76,1209,,Thu Dec 03 13:39:39 +0000 2020,1334492498610237443
"RT @drjanaway: Vaccine mythbusting in one minute.

Please share.

#covid19
#CovidVaccine https://t.co/CmDAEvsKQ5",2719,373,,Thu Dec 03 13:39:39 +0000 2020,1334492495397449728
"RT @BloodDonorsIn: #SOS
#Faridabad
Need #Blood Type :  A-positive
At : Sarvodaya Hospital. 
Blood Component : Need Plasma from A+ve #COVID1…",25,78,,Thu Dec 03 13:39:36 +0000 2020,1334492485200961541
"RT @morethanmySLE: Governor Cuomo re: people who REFUSE to comply with #COVID19 restrictions: ""You want to be a tough guy?...I'll tell you…",1350,348,,Thu Dec 03 13:39:36 +0000 2020,1334492483334656004
"RT @Isellmpls: Sen. Kelly Loeffler was briefed on #COVID19 January 2020, yet her only concern was to make sure her stock portfolio would ma…",94,10,,Thu Dec 03 13:39:35 +0000 2020,1334492481312976898
RT @ChrisLu44: Yesterday saw record #COVID19 deaths and hospitalizations. Americans everywhere are cutting back their holiday celebrations.…,81,3474,,Thu Dec 03 13:39:35 +0000 2020,1334492480155377669
RT @DrEricDing: ⚠️HOLY SMOKES. Sen Perdue’s broker bought Pfizer stock in Feb even when Pfizer warned of *bad outlook*. Then he bought more…,2866,16633,,Thu Dec 03 13:39:34 +0000 2020,1334492474807517185
"Cities across the globe have been at the forefront to cope with the #COVID19 crisis, that soon became also and #education crisis, an economic crisis, a social crisis. 

Watch my statement @UNESCO #learningcities conference #learningforwellbeing2020 

👇🏽 https://t.co/elGkvN4kIz",0,159,,Thu Dec 03 13:39:33 +0000 2020,1334492472077144064
"RT @kimi_to_daskis: He told the virus to leave.
🧼👏
#virus  #COVID19  #コロナ https://t.co/Tyz5Gpjh4B",15,1745,,Thu Dec 03 13:39:32 +0000 2020,1334492468641873922
